#,Name,Acceptance,Level,Frequency,Link
1654,Minimum Jumps to Reach Home,25.90%,Medium,32.9921,https://leetcode.com/problems/minimum-jumps-to-reach-home
490,The Maze,54.20%,Medium,32.1253,https://leetcode.com/problems/the-maze
1236,Web Crawler,65.40%,Medium,31.1638,https://leetcode.com/problems/web-crawler
433,Minimum Genetic Mutation,45.30%,Medium,31.1174,https://leetcode.com/problems/minimum-genetic-mutation
752,Open the Lock,55.10%,Medium,30.9865,https://leetcode.com/problems/open-the-lock
690,Employee Importance,62.80%,Medium,30.8728,https://leetcode.com/problems/employee-importance
1254,Number of Closed Islands,62.90%,Medium,30.5064,https://leetcode.com/problems/number-of-closed-islands
582,Kill Process,65.90%,Medium,30.4257,https://leetcode.com/problems/kill-process
1730,Shortest Path to Get Food,54.30%,Medium,29.6991,https://leetcode.com/problems/shortest-path-to-get-food
1162,As Far from Land as Possible,47.50%,Medium,29.2909,https://leetcode.com/problems/as-far-from-land-as-possible
261,Graph Valid Tree,45.10%,Medium,27.8399,https://leetcode.com/problems/graph-valid-tree
323,Number of Connected Components in an Undirected Graph,60.30%,Medium,26.128,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph
1129,Shortest Path with Alternating Colors,41.40%,Medium,25.5172,https://leetcode.com/problems/shortest-path-with-alternating-colors
117,Populating Next Right Pointers in Each Node II,45.40%,Medium,25.3839,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
919,Complete Binary Tree Inserter,63.20%,Medium,24.8796,https://leetcode.com/problems/complete-binary-tree-inserter
1631,Path With Minimum Effort,51.50%,Medium,24.7403,https://leetcode.com/problems/path-with-minimum-effort
515,Find Largest Value in Each Tree Row,64.10%,Medium,24.6908,https://leetcode.com/problems/find-largest-value-in-each-tree-row
1161,Maximum Level Sum of a Binary Tree,66.80%,Medium,24.4204,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree
1740,Find Distance in a Binary Tree,68.50%,Medium,24.183,https://leetcode.com/problems/find-distance-in-a-binary-tree
958,Check Completeness of a Binary Tree,53.20%,Medium,23.847,https://leetcode.com/problems/check-completeness-of-a-binary-tree
742,Closest Leaf in a Binary Tree,45.20%,Medium,22.4208,https://leetcode.com/problems/closest-leaf-in-a-binary-tree
1257,Smallest Common Region,62.40%,Medium,22.1316,https://leetcode.com/problems/smallest-common-region
886,Possible Bipartition,46.60%,Medium,22.0688,https://leetcode.com/problems/possible-bipartition
743,Network Delay Time,47.60%,Medium,21.9748,https://leetcode.com/problems/network-delay-time
967,Numbers With Same Consecutive Differences,46.70%,Medium,21.7218,https://leetcode.com/problems/numbers-with-same-consecutive-differences
1376,Time Needed to Inform All Employees,58.00%,Medium,20.7767,https://leetcode.com/problems/time-needed-to-inform-all-employees
841,Keys and Rooms,68.10%,Medium,20.1774,https://leetcode.com/problems/keys-and-rooms
1519,Number of Nodes in the Sub-Tree With the Same Label,39.10%,Medium,19.9554,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label
1559,Detect Cycles in 2D Grid,47.60%,Medium,19.5616,https://leetcode.com/problems/detect-cycles-in-2d-grid
865,Smallest Subtree with all the Deepest Nodes,67.10%,Medium,18.1021,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes
684,Redundant Connection,60.80%,Medium,18.0034,https://leetcode.com/problems/redundant-connection
655,Print Binary Tree,58.60%,Medium,17.0428,https://leetcode.com/problems/print-binary-tree
1123,Lowest Common Ancestor of Deepest Leaves,69.50%,Medium,15.8635,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves
1202,Smallest String With Swaps,51.80%,Medium,15.5435,https://leetcode.com/problems/smallest-string-with-swaps
310,Minimum Height Trees,37.80%,Medium,15.0457,https://leetcode.com/problems/minimum-height-trees
1765,Map of Highest Peak,59.00%,Medium,14.4635,https://leetcode.com/problems/map-of-highest-peak
1905,Count Sub Islands,62.30%,Medium,14.3608,https://leetcode.com/problems/count-sub-islands
1245,Tree Diameter,62.40%,Medium,13.7049,https://leetcode.com/problems/tree-diameter
802,Find Eventual Safe States,51.60%,Medium,12.9639,https://leetcode.com/problems/find-eventual-safe-states
513,Find Bottom Left Tree Value,64.50%,Medium,12.8614,https://leetcode.com/problems/find-bottom-left-tree-value
1325,Delete Leaves With a Given Value,74.80%,Medium,12.4698,https://leetcode.com/problems/delete-leaves-with-a-given-value
1042,Flower Planting With No Adjacent,49.60%,Medium,11.4718,https://leetcode.com/problems/flower-planting-with-no-adjacent
672,Bulb Switcher II,50.80%,Medium,11.0207,https://leetcode.com/problems/bulb-switcher-ii
1391,Check if There is a Valid Path in a Grid,46.30%,Medium,10.8925,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid
1087,Brace Expansion,64.10%,Medium,10.7728,https://leetcode.com/problems/brace-expansion
1034,Coloring A Border,47.90%,Medium,10.6486,https://leetcode.com/problems/coloring-a-border
1443,Minimum Time to Collect All Apples in a Tree,55.30%,Medium,10.4587,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree
1462,Course Schedule IV,47.30%,Medium,10.1112,https://leetcode.com/problems/course-schedule-iv
1361,Validate Binary Tree Nodes,41.80%,Medium,10.074,https://leetcode.com/problems/validate-binary-tree-nodes
737,Sentence Similarity II,47.70%,Medium,9.92901,https://leetcode.com/problems/sentence-similarity-ii
1367,Linked List in Binary Tree,42.30%,Medium,9.74142,https://leetcode.com/problems/linked-list-in-binary-tree
1485,Clone Binary Tree With Random Pointer,79.40%,Medium,9.15053,https://leetcode.com/problems/clone-binary-tree-with-random-pointer
505,The Maze II,50.80%,Medium,8.96626,https://leetcode.com/problems/the-maze-ii
2059,Minimum Operations to Convert Number,45.20%,Medium,8.86033,https://leetcode.com/problems/minimum-operations-to-convert-number
1315,Sum of Nodes with Even-Valued Grandparent,85.00%,Medium,7.76037,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent
107,Binary Tree Level Order Traversal II,57.70%,Medium,7.29298,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
1267,Count Servers that Communicate,58.00%,Medium,6.69806,https://leetcode.com/problems/count-servers-that-communicate
1490,Clone N-ary Tree,82.80%,Medium,6.23385,https://leetcode.com/problems/clone-n-ary-tree
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,85.30%,Medium,5.67097,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1020,Number of Enclaves,61.10%,Medium,5.34428,https://leetcode.com/problems/number-of-enclaves
756,Pyramid Transition Matrix,55.10%,Medium,5.29527,https://leetcode.com/problems/pyramid-transition-matrix
429,N-ary Tree Level Order Traversal,68.40%,Medium,4.96959,https://leetcode.com/problems/n-ary-tree-level-order-traversal
1311,Get Watched Videos by Your Friends,44.90%,Medium,4.9282,https://leetcode.com/problems/get-watched-videos-by-your-friends
1302,Deepest Leaves Sum,85.60%,Medium,3.71789,https://leetcode.com/problems/deepest-leaves-sum
2039,The Time When the Network Becomes Idle,48.10%,Medium,3.22722,https://leetcode.com/problems/the-time-when-the-network-becomes-idle
1992,Find All Groups of Farmland,66.20%,Medium,1.60886,https://leetcode.com/problems/find-all-groups-of-farmland
1609,Even Odd Tree,52.70%,Medium,1.08298,https://leetcode.com/problems/even-odd-tree
623,Add One Row to Tree,53.60%,Medium,0,https://leetcode.com/problems/add-one-row-to-tree
1215,Stepping Numbers,44.90%,Medium,0,https://leetcode.com/problems/stepping-numbers
1273,Delete Tree Nodes,61.20%,Medium,0,https://leetcode.com/problems/delete-tree-nodes
1261,Find Elements in a Contaminated Binary Tree,75.50%,Medium,0,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,45.50%,Medium,0,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree
1457,Pseudo-Palindromic Paths in a Binary Tree,67.70%,Medium,0,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree
1602,Find Nearest Right Node in Binary Tree,73.90%,Medium,0,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree
1625,Lexicographically Smallest String After Applying Operations,66.10%,Medium,0,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations
1660,Correct a Binary Tree,72.80%,Medium,0,https://leetcode.com/problems/correct-a-binary-tree
1778,Shortest Path in a Hidden Grid,42.80%,Medium,0,https://leetcode.com/problems/shortest-path-in-a-hidden-grid
1810,Minimum Path Cost in a Hidden Grid,53.10%,Medium,0,https://leetcode.com/problems/minimum-path-cost-in-a-hidden-grid
2101,Detonate the Maximum Bombs,38.80%,Medium,0,https://leetcode.com/problems/detonate-the-maximum-bombs
