#,Name,Acceptance,Level,Frequency,Link
889,Construct Binary Tree from Preorder and Postorder Traversal,69.60%,Medium,39.0659,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal
298,Binary Tree Longest Consecutive Sequence,50.80%,Medium,38.8219,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence
1361,Validate Binary Tree Nodes,41.70%,Medium,38.5024,https://leetcode.com/problems/validate-binary-tree-nodes
742,Closest Leaf in a Binary Tree,45.40%,Medium,37.8677,https://leetcode.com/problems/closest-leaf-in-a-binary-tree
582,Kill Process,66.40%,Medium,37.471,https://leetcode.com/problems/kill-process
1644,Lowest Common Ancestor of a Binary Tree II,58.50%,Medium,36.9962,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii
1123,Lowest Common Ancestor of Deepest Leaves,69.70%,Medium,36.8059,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves
1372,Longest ZigZag Path in a Binary Tree,57.50%,Medium,36.5868,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree
1161,Maximum Level Sum of a Binary Tree,66.70%,Medium,36.0399,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree
1443,Minimum Time to Collect All Apples in a Tree,55.40%,Medium,34.321,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree
230,Kth Smallest Element in a BST,66.10%,Medium,34.0064,https://leetcode.com/problems/kth-smallest-element-in-a-bst
1257,Smallest Common Region,62.60%,Medium,33.5069,https://leetcode.com/problems/smallest-common-region
510,Inorder Successor in BST II,61.60%,Medium,33.458,https://leetcode.com/problems/inorder-successor-in-bst-ii
865,Smallest Subtree with all the Deepest Nodes,67.50%,Medium,32.91,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes
1519,Number of Nodes in the Sub-Tree With the Same Label,39.30%,Medium,32.4769,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label
1740,Find Distance in a Binary Tree,68.20%,Medium,31.5514,https://leetcode.com/problems/find-distance-in-a-binary-tree
663,Equal Tree Partition,41.10%,Medium,31.426,https://leetcode.com/problems/equal-tree-partition
156,Binary Tree Upside Down,59.60%,Medium,31.0552,https://leetcode.com/problems/binary-tree-upside-down
1245,Tree Diameter,62.30%,Medium,30.704,https://leetcode.com/problems/tree-diameter
1376,Time Needed to Inform All Employees,57.90%,Medium,28.1979,https://leetcode.com/problems/time-needed-to-inform-all-employees
558,Logical OR of Two Binary Grids Represented as Quad-Trees,47.10%,Medium,27.9997,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees
1676,Lowest Common Ancestor of a Binary Tree IV,79.50%,Medium,27.4863,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iv
776,Split BST,58.10%,Medium,26.9688,https://leetcode.com/problems/split-bst
687,Longest Univalue Path,39.10%,Medium,26.6608,https://leetcode.com/problems/longest-univalue-path
1038,Binary Search Tree to Greater Sum Tree,84.40%,Medium,26.5258,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree
508,Most Frequent Subtree Sum,62.30%,Medium,26.1086,https://leetcode.com/problems/most-frequent-subtree-sum
655,Print Binary Tree,59.10%,Medium,26.0216,https://leetcode.com/problems/print-binary-tree
951,Flip Equivalent Binary Trees,66.60%,Medium,25.0606,https://leetcode.com/problems/flip-equivalent-binary-trees
331,Verify Preorder Serialization of a Binary Tree,43.60%,Medium,24.952,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree
1367,Linked List in Binary Tree,42.40%,Medium,23.9259,https://leetcode.com/problems/linked-list-in-binary-tree
701,Insert into a Binary Search Tree,75.00%,Medium,23.5575,https://leetcode.com/problems/insert-into-a-binary-search-tree
1325,Delete Leaves With a Given Value,74.80%,Medium,23.5218,https://leetcode.com/problems/delete-leaves-with-a-given-value
814,Binary Tree Pruning,71.00%,Medium,23.3101,https://leetcode.com/problems/binary-tree-pruning
1104,Path In Zigzag Labelled Binary Tree,74.30%,Medium,22.8424,https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree
538,Convert BST to Greater Tree,62.50%,Medium,20.9627,https://leetcode.com/problems/convert-bst-to-greater-tree
1586,Binary Search Tree Iterator II,67.30%,Medium,20.8736,https://leetcode.com/problems/binary-search-tree-iterator-ii
1530,Number of Good Leaf Nodes Pairs,59.30%,Medium,19.6611,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs
107,Binary Tree Level Order Traversal II,58.10%,Medium,19.5911,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
255,Verify Preorder Sequence in Binary Search Tree,47.40%,Medium,19.5513,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
919,Complete Binary Tree Inserter,63.60%,Medium,19.4471,https://leetcode.com/problems/complete-binary-tree-inserter
250,Count Univalue Subtrees,54.70%,Medium,19.2483,https://leetcode.com/problems/count-univalue-subtrees
1120,Maximum Average Subtree,65.10%,Medium,16.47,https://leetcode.com/problems/maximum-average-subtree
513,Find Bottom Left Tree Value,64.80%,Medium,16.3768,https://leetcode.com/problems/find-bottom-left-tree-value
2049,Count Nodes With the Highest Score,45.80%,Medium,14.3631,https://leetcode.com/problems/count-nodes-with-the-highest-score
549,Binary Tree Longest Consecutive Sequence II,48.50%,Medium,13.7039,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii
1315,Sum of Nodes with Even-Valued Grandparent,85.10%,Medium,12.7532,https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent
1490,Clone N-ary Tree,83.10%,Medium,11.7595,https://leetcode.com/problems/clone-n-ary-tree
988,Smallest String Starting From Leaf,48.50%,Medium,11.7035,https://leetcode.com/problems/smallest-string-starting-from-leaf
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,85.40%,Medium,11.6494,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1973,Count Nodes Equal to Sum of Descendants,74.60%,Medium,11.3921,https://leetcode.com/problems/count-nodes-equal-to-sum-of-descendants
1302,Deepest Leaves Sum,85.60%,Medium,11.071,https://leetcode.com/problems/deepest-leaves-sum
1145,Binary Tree Coloring Game,51.10%,Medium,9.04218,https://leetcode.com/problems/binary-tree-coloring-game
654,Maximum Binary Tree,83.20%,Medium,8.2951,https://leetcode.com/problems/maximum-binary-tree
1660,Correct a Binary Tree,72.60%,Medium,6.499,https://leetcode.com/problems/correct-a-binary-tree
1609,Even Odd Tree,52.90%,Medium,6.08317,https://leetcode.com/problems/even-odd-tree
429,N-ary Tree Level Order Traversal,68.60%,Medium,5.80483,https://leetcode.com/problems/n-ary-tree-level-order-traversal
1457,Pseudo-Palindromic Paths in a Binary Tree,67.50%,Medium,3.95235,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree
1485,Clone Binary Tree With Random Pointer,79.70%,Medium,3.63118,https://leetcode.com/problems/clone-binary-tree-with-random-pointer
1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,45.60%,Medium,0,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree
1902,Depth of BST Given Insertion Order,47.00%,Medium,0,https://leetcode.com/problems/depth-of-bst-given-insertion-order
1080,Insufficient Nodes in Root to Leaf Paths,51.60%,Medium,0,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths
623,Add One Row to Tree,53.70%,Medium,0,https://leetcode.com/problems/add-one-row-to-tree
666,Path Sum IV,58.30%,Medium,0,https://leetcode.com/problems/path-sum-iv
1273,Delete Tree Nodes,61.20%,Medium,0,https://leetcode.com/problems/delete-tree-nodes
1600,Throne Inheritance,62.80%,Medium,0,https://leetcode.com/problems/throne-inheritance
998,Maximum Binary Tree II,65.30%,Medium,0,https://leetcode.com/problems/maximum-binary-tree-ii
1214,Two Sum BSTs,67.10%,Medium,0,https://leetcode.com/problems/two-sum-bsts
1666,Change the Root of a Binary Tree,67.30%,Medium,0,https://leetcode.com/problems/change-the-root-of-a-binary-tree
1612,Check If Two Expression Trees are Equivalent,69.30%,Medium,0,https://leetcode.com/problems/check-if-two-expression-trees-are-equivalent
1602,Find Nearest Right Node in Binary Tree,75.30%,Medium,0,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree
1261,Find Elements in a Contaminated Binary Tree,75.60%,Medium,0,https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree
